ell,model,repeated_session_splits,accuracy_mean,accuracy_split_sd,accuracy_split_ci95,balanced_accuracy_mean,balanced_accuracy_split_sd,balanced_accuracy_split_ci95,roc_auc_mean,roc_auc_split_sd,roc_auc_split_ci95,auc_advantage_mean,auc_advantage_split_sd,auc_advantage_split_ci95
1,Logistic Regression,10,0.49890333333333337,0.002177293029950633,0.001349500201217629,0.49890333333333337,0.0021772930299506343,0.0013495002012176294,0.4994885493333333,0.002994900804618272,0.0018562587501374744,0.002269247111111106,0.001881071526698584,0.0011659002113473206
1,Random Forest,10,0.50119,0.00412705766112756,0.002557976839826047,0.50119,0.004127057661127562,0.0025579768398260485,0.5006374377777777,0.0038093512803040147,0.002361060384874083,0.0027331373333333298,0.002581198837912405,0.0015998436146302639
2,Logistic Regression,10,0.5008133333333333,0.0020969819582755877,0.0012997228832844821,0.5008133333333333,0.0020969819582755864,0.0012997228832844813,0.5016959040000001,0.0025645761285600544,0.0015895407526327274,0.0022050871111111204,0.00209046163346486,0.0012956815440972249
2,Random Forest,10,0.5020333333333333,0.0025461178388642564,0.0015781001861513394,0.5020333333333333,0.0025461178388642403,0.0015781001861513296,0.5026646639999999,0.0031368908132079123,0.0019442650692349807,0.0035765759999999646,0.0018751633782773942,0.0011622383030173242
4,Logistic Regression,10,0.5006700000000001,0.0034615863772139914,0.0021455134648037714,0.5006700000000001,0.0034615863772140217,0.0021455134648037904,0.5012797382222222,0.003870221534327086,0.002398788159189406,0.0030843266666666703,0.0024956433557073382,0.0015468157773741887
4,Random Forest,10,0.49872666666666665,0.003017594496152498,0.0018703244458754997,0.49872666666666665,0.0030175944961524817,0.0018703244458754893,0.4982955364444444,0.00405393124803802,0.0025126526194197128,0.003688191555555559,0.0021326461833920383,0.0013218277990256638
8,Logistic Regression,10,0.5007166666666667,0.0013746604519024438,0.000852023375324141,0.5007166666666667,0.0013746604519024744,0.0008520233753241601,0.5002772235555556,0.0017523103927601768,0.0010860932337064515,0.0010740191111111076,0.0013690501127264858,0.0008485460510766895
8,Random Forest,10,0.4999433333333333,0.0029361118995058313,0.0018198210092421198,0.4999433333333333,0.0029361118995058326,0.0018198210092421206,0.5004339839999999,0.002417872836716264,0.0014986131103084546,0.0020970968888888884,0.0010811644442430617,0.0006701126651236462
