ell,samples_per_mode,normal_shannon_entropy_bits_per_byte,normal_min_entropy_bits_per_byte,normal_bit_one_frequency,normal_max_bit_position_bias,normal_chi2_statistic,normal_chi2_p_value,anamorphic_shannon_entropy_bits_per_byte,anamorphic_min_entropy_bits_per_byte,anamorphic_bit_one_frequency,anamorphic_max_bit_position_bias,anamorphic_chi2_statistic,anamorphic_chi2_p_value,bit_frequency_absolute_difference,max_bit_position_frequency_difference,ks_statistic,ks_p_value,tv_distance,anamorphic_mean_trials,anamorphic_median_trials,normal_chi2_p_value_bh,anamorphic_chi2_p_value_bh,ks_p_value_bh
1,100000,7.999857949864929,7.947862376664824,0.4998675,0.00378999999999996,236.07594666666665,0.7967119416541278,7.999850465108544,7.934565554051367,0.4999645833333333,0.0035299999999999776,248.66944,0.5999000022941526,9.708333333330321e-05,0.005520000000000025,0.0050000000000000044,0.16353363492434747,0.007818333333333335,2.00121,2.0,0.881343876410726,0.8571149238926404,0.8571149238926404
2,100000,7.9998521537671525,7.942233207231941,0.4998229166666667,0.0045399999999999885,246.16874666666666,0.6428361929194804,7.999851243076048,7.940755490170565,0.5000816666666666,0.0046599999999999975,247.50848,0.6199831629508431,0.0002587499999999743,0.007059999999999955,0.003589999999999982,0.5384706206332561,0.007689999999999998,4.00055,3.0,0.8571149238926404,0.8571149238926404,0.8571149238926404
4,100000,7.999851275517226,7.951428991685017,0.5000783333333333,0.004469999999999974,247.16117333333332,0.6259435633012503,7.999858609280296,7.945489522444239,0.5000526041666666,0.0043500000000000205,235.21365333333335,0.8078985533764989,2.5729166666654812e-05,0.006830000000000058,0.004200000000000009,0.3400532985517557,0.008083333333333328,16.01053,11.0,0.8571149238926404,0.881343876410726,0.8571149238926404
8,100000,7.999847287912888,7.951428991685017,0.49982322916666666,0.004630000000000023,253.90890666666667,0.5075183906384247,7.9998643608622935,7.937509830666911,0.50003625,0.004249999999999976,225.73781333333332,0.9064329425080954,0.00021302083333329946,0.006799999999999973,0.003650000000000042,0.5168926284892501,0.007673333333333332,255.46593,177.0,0.8571149238926404,0.9064329425080954,0.8571149238926404
