ell,split_seed,model,accuracy,balanced_accuracy,roc_auc,auc_advantage,train_samples,test_samples
2,43,Random Forest,0.5035333333333334,0.5035333333333334,0.5051927777777777,0.005192777777777713,140000,30000
2,44,Logistic Regression,0.5022,0.5022,0.5024380266666667,0.002438026666666704,140000,30000
2,44,Random Forest,0.49996666666666667,0.49996666666666667,0.5007719377777777,0.0007719377777777314,140000,30000
2,45,Logistic Regression,0.49933333333333335,0.4993333333333333,0.49950482222222226,0.0004951777777777444,140000,30000
2,45,Random Forest,0.5068,0.5067999999999999,0.5058631466666667,0.005863146666666652,140000,30000
2,46,Logistic Regression,0.4979,0.4979,0.4984383822222222,0.0015616177777778018,140000,30000
2,46,Random Forest,0.5011333333333333,0.5011333333333333,0.5028392933333333,0.002839293333333326,140000,30000
2,47,Logistic Regression,0.5031,0.5031,0.5055925066666667,0.005592506666666663,140000,30000
2,47,Random Forest,0.5017,0.5017,0.5025578933333332,0.0025578933333332277,140000,30000
2,48,Logistic Regression,0.4996,0.4996,0.5003679022222223,0.00036790222222227165,140000,30000
2,48,Random Forest,0.49866666666666665,0.4986666666666667,0.49544044,0.004559560000000018,140000,30000
2,49,Logistic Regression,0.5004666666666666,0.5004666666666667,0.5012354622222222,0.00123546222222215,140000,30000
2,49,Random Forest,0.5051333333333333,0.5051333333333334,0.5042865866666666,0.004286586666666592,140000,30000
2,50,Logistic Regression,0.5008,0.5008,0.49951088,0.0004891200000000095,140000,30000
2,50,Random Forest,0.5,0.5,0.5009332888888889,0.0009332888888888835,140000,30000
2,51,Logistic Regression,0.5050666666666667,0.5050666666666667,0.5061137866666667,0.006113786666666732,140000,30000
2,51,Random Forest,0.5029,0.5029,0.5058985244444444,0.005898524444444386,140000,30000
4,42,Logistic Regression,0.4992333333333333,0.4992333333333333,0.5024095155555556,0.0024095155555555747,140000,30000
4,42,Random Forest,0.4994,0.49939999999999996,0.5006578355555555,0.0006578355555555415,140000,30000
4,43,Logistic Regression,0.5053666666666666,0.5053666666666666,0.5087478444444444,0.00874784444444443,140000,30000
4,43,Random Forest,0.4991,0.4991,0.4977143155555555,0.0022856844444444913,140000,30000
4,44,Logistic Regression,0.5053333333333333,0.5053333333333334,0.5040936355555556,0.004093635555555641,140000,30000
4,44,Random Forest,0.5027,0.5027,0.5032358711111111,0.0032358711111111216,140000,30000
4,45,Logistic Regression,0.49956666666666666,0.4995666666666666,0.4988475511111111,0.0011524488888888795,140000,30000
4,45,Random Forest,0.4955,0.49550000000000005,0.4939983822222222,0.006001617777777801,140000,30000
4,46,Logistic Regression,0.5039333333333333,0.5039333333333333,0.5025661288888889,0.0025661288888888523,140000,30000
4,46,Random Forest,0.5023666666666666,0.5023666666666666,0.5007661111111111,0.0007661111111111341,140000,30000
4,47,Logistic Regression,0.5010666666666667,0.5010666666666667,0.5040032,0.0040031999999999845,140000,30000
4,47,Random Forest,0.5025,0.5025,0.5052588222222222,0.005258822222222181,140000,30000
4,48,Logistic Regression,0.4979,0.4979,0.49768997333333337,0.0023100266666666314,140000,30000
4,48,Random Forest,0.4982,0.4982,0.49675061777777774,0.0032493822222222635,140000,30000
4,49,Logistic Regression,0.49423333333333336,0.4942333333333333,0.49529043999999994,0.004709560000000057,140000,30000
4,49,Random Forest,0.49643333333333334,0.49643333333333334,0.49500769333333333,0.004992306666666668,140000,30000
4,50,Logistic Regression,0.5001666666666666,0.5001666666666666,0.49994835555555556,5.164444444444305e-05,140000,30000
4,50,Random Forest,0.49646666666666667,0.49646666666666667,0.4966067155555556,0.003393284444444422,140000,30000
4,51,Logistic Regression,0.4999,0.4999,0.4992007377777778,0.0007992622222222079,140000,30000
