ell,samples_per_mode,normal_shannon_entropy_bits_per_byte,normal_min_entropy_bits_per_byte,normal_bit_one_frequency,normal_chi2_statistic,normal_chi2_p_value,anamorphic_shannon_entropy_bits_per_byte,anamorphic_min_entropy_bits_per_byte,anamorphic_bit_one_frequency,anamorphic_chi2_statistic,anamorphic_chi2_p_value,bit_frequency_absolute_difference,ks_statistic,ks_p_value,tv_distance,anamorphic_mean_trials,anamorphic_median_trials,classifier_validation_accuracy,classifier_accuracy,classifier_balanced_accuracy,classifier_roc_auc,classifier_train_samples,classifier_validation_samples,classifier_test_samples
1,2000,7.9920446572830395,7.620009447820357,0.5014427083333334,262.848,0.3544015796996683,7.990412053321115,7.562062098611078,0.5001666666666666,319.25333333333333,0.003848068460222084,0.0012760416666667274,0.0335,0.2117398173490672,0.06420833333333333,2.026,2.0,0.5433333333333333,0.5216666666666666,0.5229699666295884,0.5064738598442714,2800,600,600
2,2000,7.9930195602792535,7.631883548108648,0.49880729166666665,232.59733333333335,0.8396195149800828,7.992707979215545,7.596550474996368,0.501453125,242.15466666666669,0.7084941333715741,0.0026458333333334028,0.021,0.770029236885313,0.056166666666666656,3.96,3.0,0.49166666666666664,0.5133333333333333,0.5149054505005561,0.5225806451612902,2800,600,600
4,2000,7.991433550135998,7.573466861883326,0.49903125,287.25333333333333,0.08056222124655604,7.9918709150466745,7.655929022075299,0.49996875,268.9493333333333,0.2623348298137445,0.0009375000000000355,0.025,0.5596752163759332,0.059583333333333335,16.2855,11.0,0.5333333333333333,0.485,0.48526140155728587,0.4773081201334816,2800,600,600
8,2000,7.993285155178662,7.562062098611078,0.5010520833333333,225.06666666666666,0.9117128183697224,7.991552375608618,7.596550474996368,0.5005260416666667,281.77066666666667,0.11988005913743345,0.0005260416666665879,0.031,0.291764846534962,0.06004166666666666,254.174,180.0,0.515,0.45666666666666667,0.4579532814238042,0.48370411568409344,2800,600,600
