configuration,n,mean_ms,std_ms,median_ms,p95_ms,ci95_ms,throughput_ops_s,communication_bytes,ell
Authenticated AKE handshake,1000,0.057430373,0.02238628519045756,0.049768,0.12106094999999994,0.0013875163312180665,17412.38908547573,1220,0
Ordinary protected record,1000,0.0023428529999999998,0.0007191179374754873,0.002304,0.00235,4.457139153861986e-05,426830.02305308956,334,0
Anamorphic protected record (ell=1),1000,0.009409267,0.004641302105761695,0.009004999999999999,0.01687075,0.00028767088487759623,106278.20424268967,334,1
Anamorphic protected record (ell=2),1000,0.014674976000000001,0.009803817781278501,0.0116535,0.0345574,0.0006076469215003312,68143.21195482704,334,2
Anamorphic protected record (ell=4),1000,0.048655478,0.04741114216651028,0.0346195,0.13884664999999996,0.002938573036037961,20552.67034885568,334,4
Anamorphic protected record (ell=8),1000,0.65402375,0.6455524056018735,0.45713899999999996,1.9096713499999998,0.04001175263377412,1528.9964622844354,334,8
