ell,anoenc_n,anoenc_mean_ms,anoenc_std_ms,anoenc_median_ms,anoenc_p95_ms,anoenc_ci95_ms,anoenc_throughput_ops_s,anodec_n,anodec_mean_ms,anodec_std_ms,anodec_median_ms,anodec_p95_ms,anodec_ci95_ms,anodec_throughput_ops_s,mean_trials,median_trials,p95_trials,theoretical_trials,covert_throughput_bits_s,record_mean_ms,record_throughput_records_s
1,1000,0.0057553330000000005,0.004408888053237117,0.0055,0.013262649999999999,0.00027326571265992583,173751.89237529782,1000,0.0020900759999999997,0.00042147501635733214,0.002064,0.002115,2.612329215949952e-05,478451.5012851208,2.012,2.0,5.0,2.0,106278.20424268967,0.009409267,106278.20424268967
2,1000,0.010948356000000001,0.00950202044914027,0.008102999999999999,0.029837999999999986,0.000588941329058476,91337.9141124019,1000,0.002134347,0.0004920209153808121,0.002076,0.002136,3.0495772281269037e-05,468527.3762888603,3.968,3.0,11.0,4.0,136286.42390965408,0.014674976000000001,68143.21195482704
4,1000,0.044460733,0.04660659793908118,0.030967,0.1332343999999999,0.0028887068681924385,22491.75693976975,1000,0.0023462389999999995,0.0009435822918115942,0.002063,0.0042705,5.848383635775519e-05,426214.0387232504,15.133,11.0,42.0,16.0,82210.68139542273,0.048655478,20552.67034885568
8,1000,0.648211652,0.6440111461263724,0.44497699999999996,1.9027189499999997,0.03991622438177928,1542.705992579103,1000,0.002207419,0.0009311120507705234,0.0020875,0.002377,5.7710922810397766e-05,453017.7551248766,240.903,167.0,707.0999999999999,256.0,12231.971698275484,0.65402375,1528.9964622844354
