ell,anoenc_median_ms,anoenc_ci95_ms,mean_trials,theoretical_trials,covert_throughput_bits_s
1,0.0055,0.0002732657126599,2.012,2.0,106278.20424268968
2,0.0081029999999999,0.0005889413290584,3.968,4.0,136286.42390965408
4,0.030967,0.0028887068681924,15.133,16.0,82210.68139542273
8,0.4449769999999999,0.0399162243817792,240.903,256.0,12231.971698275484
