ell,normal_shannon_entropy_bits_per_byte,anamorphic_shannon_entropy_bits_per_byte,normal_min_entropy_bits_per_byte,anamorphic_min_entropy_bits_per_byte,normal_chi2_p_value,anamorphic_chi2_p_value,ks_statistic,ks_p_value,tv_distance,classifier_accuracy,classifier_balanced_accuracy,classifier_roc_auc
1,7.992044657283039,7.990412053321115,7.620009447820357,7.562062098611078,0.3544015796996683,0.003848068460222,0.0335,0.2117398173490672,0.0642083333333333,0.5216666666666666,0.5229699666295884,0.5064738598442714
2,7.993019560279253,7.992707979215545,7.631883548108648,7.596550474996368,0.8396195149800828,0.7084941333715741,0.021,0.770029236885313,0.0561666666666666,0.5133333333333333,0.5149054505005561,0.5225806451612902
4,7.991433550135998,7.991870915046674,7.573466861883326,7.655929022075299,0.080562221246556,0.2623348298137445,0.025,0.5596752163759332,0.0595833333333333,0.485,0.4852614015572858,0.4773081201334816
8,7.993285155178662,7.991552375608618,7.562062098611078,7.596550474996368,0.9117128183697224,0.1198800591374334,0.031,0.291764846534962,0.0600416666666666,0.4566666666666666,0.4579532814238042,0.4837041156840934
